"","X","Old_id","id","rownames","Geography","Metro","HabitatSuitability","GDP_capita","mosquito.abundance","MF","R0","R0_round","MetroR0","metro_round"
"48",48,48,48,95,"Concho County, Texas",NA,0.000768168,23920,0.291552876,0.17772994,0.666556056,0.7,0.666556056,0.7
"49",49,49,49,97,"Cooke County, Texas",NA,0.000756981,56631,0.200147463,0.13335099,0.343324729,0.3,0.343324729,0.3
"50",50,50,50,99,"Coryell County, Texas",9,0.002637268,32678,0.426293317,0.160175405,0.878340905,0.9,0.956456935874137,1
"51",51,51,51,101,"Cottle County, Texas",NA,0.000728918,56269,0.05914789,0.133636345,0.101676971,0.1,0.101676971,0.1
"52",52,52,52,103,"Crane County, Texas",NA,0.001113121,45308,0.025995992,0.143644617,0.048034636,0,0.048034636,0
"53",53,53,53,105,"Crockett County, Texas",NA,0.003178201,41534,0.20018804,0.147869885,0.380782179,0.4,0.380782179,0.4
"54",54,54,54,107,"Crosby County, Texas",11,0.00097876,33250,0.086611124,0.159251588,0.177425566,0.2,0.156538936847987,0.2
"55",55,55,55,109,"Culberson County, Texas",NA,0.007096308,36353,0.020046825,0.154585078,0.039863178,0,0.039863178,0
"56",56,56,56,111,"Dallam County, Texas",NA,0.000981029,60007,0.015867861,0.130801788,0.026698743,0,0.026698743,0
"57",57,57,57,113,"Dallas County, Texas",1,0.032078921,52406,0.27381149,0.13684239,0.48198228,0.5,0.484432655865983,0.5
"58",58,58,58,115,"Dawson County, Texas",NA,0.001207113,33539,0.042040172,0.158792853,0.085872516,0.1,0.085872516,0.1
"59",59,59,59,117,"Deaf Smith County, Texas",NA,0.001039749,40652,0.050495872,0.148931655,0.096739011,0.1,0.096739011,0.1
"60",60,60,60,119,"Delta County, Texas",NA,0.00014202,35889,0.162778057,0.155248424,0.325073685,0.3,0.325073685,0.3
"61",61,61,61,121,"Denton County, Texas",1,0.005911698,46987,0.294980279,0.141912859,0.538484843,0.5,0.484432655865983,0.5
"62",62,62,62,123,"DeWitt County, Texas",NA,0.001339379,47470,0.487246099,0.141429903,0.886438004,0.9,0.886438004,0.9
"63",63,63,63,125,"Dickens County, Texas",NA,0.00073976,29421,0.07225553,0.165880439,0.154178928,0.2,0.154178928,0.2
"64",64,64,64,127,"Dimmit County, Texas",NA,0.002717417,48078,0.482194371,0.140831192,0.873533864,0.9,0.873533864,0.9
"65",65,65,65,129,"Donley County, Texas",NA,0.00060053,39130,0.068020649,0.150838095,0.131980741,0.1,0.131980741,0.1
"66",66,66,66,131,"Duval County, Texas",NA,0.002751112,39800,0.5051746,0.149986889,0.974660927,1,0.974660927,1
"67",67,67,67,133,"Eastland County, Texas",NA,0.000627366,68513,0.285070767,0.125147831,0.458917652,0.5,0.458917652,0.5
"68",68,68,68,135,"Ector County, Texas",NA,0.003134741,47069,0.0909088,0.141830401,0.165857077,0.2,0.165857077,0.2
"69",69,69,69,137,"Edwards County, Texas",NA,0.001866429,39359,0.226940979,0.150544988,0.43947885,0.4,0.43947885,0.4
"70",70,70,71,139,"El Paso County, Texas",5,0.028126543,31816,0.216841676,0.161609094,0.450782765,0.5,0.242095565807525,0.2
"71",71,71,70,141,"Ellis County, Texas",1,0.002149467,37322,0.007131382,0.153235486,0.014056973,0,0.484432655865983,0.5
"72",72,72,72,143,"Erath County, Texas",NA,0.001053184,32150,0.250222267,0.161047503,0.518368619,0.5,0.518368619,0.5
"73",73,73,73,145,"Falls County, Texas",14,0.001018401,33517,0.568346011,0.158827588,1.161174554,1.2,0.980772878725187,1
"74",74,74,74,147,"Fannin County, Texas",NA,0.000568578,33958,0.135523897,0.158137045,0.2756819,0.3,0.2756819,0.3
"75",75,75,75,149,"Fayette County, Texas",NA,0.001463928,47200,0.449949821,0.141699066,0.820143457,0.8,0.820143457,0.8
"76",76,76,76,151,"Fisher County, Texas",NA,0.000995777,42920,0.065413633,0.146260734,0.123070729,0.1,0.123070729,0.1
"77",77,77,77,153,"Floyd County, Texas",NA,0.000907879,40591,0.065255184,0.149006222,0.125077207,0.1,0.125077207,0.1
"78",78,78,78,155,"Foard County, Texas",NA,0.000475362,40967,0.059101434,0.148548955,0.112934432,0.1,0.112934432,0.1
"79",79,79,79,157,"Fort Bend County, Texas",2,0.019421937,54753,0.593434869,0.134858507,1.029461623,1,0.810191659406406,0.8
"80",80,80,80,159,"Franklin County, Texas",NA,0.000172459,38688,0.179858489,0.151410349,0.350304128,0.4,0.350304128,0.4
"81",81,81,81,161,"Freestone County, Texas",NA,0.000953638,36255,0.281471836,0.154724237,0.560211539,0.6,0.560211539,0.6
"82",82,82,82,163,"Frio County, Texas",NA,0.001487589,35084,0.547065414,0.156426845,1.100802225,1.1,1.100802225,1.1
"83",83,83,83,165,"Gaines County, Texas",NA,0.001905811,36333,0.026189679,0.154613437,0.052087818,0.1,0.052087818,0.1
