"county","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"ector",8.81678,11.092745,15.195475,19.82504,24.773335,28.593535,28.851035,28.839735,25.286855,19.928775,13.306525,8.42049
"edwards",11.327845,13.29389,17.172675,21.561705,25.89431,28.398975,28.385405,28.89246,25.848035,21.184755,15.67136,10.92554
"el paso",8.745695,11.0311,14.400735,18.626735,23.48906,28.028755,29.36435,28.490415,25.314085,19.76579,13.17122,8.26512
"ellis",8.7951,10.35894,14.501135,18.58013,24.1288,28.48768,30.52227,30.91055,26.61045,20.5982,14.586825,8.7724
"erath",8.89032,10.44859,14.71228,19.17524,24.293485,28.35041,30.003165,30.350845,26.011965,20.42487,14.261155,8.789865
"falls",10.14955,11.80187,15.616435,19.608255,24.79427,28.562425,30.132335,30.668825,27.092875,21.369425,15.472455,10.12269
"fannin",7.154465,8.81865,13.477205,17.600285,23.15275,27.7923,30.198245,30.49195,25.61842,19.55403,13.523185,7.21315
"fayette",12.08808,13.804835,17.05617,20.95722,25.70023,28.655225,29.432945,30.12464,27.45313,22.3432,17.015205,12.17721
"fisher",8.07737,10.029925,14.62343,19.40408,24.37585,28.619045,29.830315,30.03889,25.861265,19.949725,13.327975,7.888855
"floyd",5.81617,7.59837,12.0808,16.8899,22.03436,26.52442,27.840685,27.66678,23.46527,17.58414,11.005345,5.58175
"foard",7.076375,8.833255,13.70111,18.362915,23.778595,28.72019,30.606125,30.64056,25.885645,19.52932,12.69187,6.75125
"fort bend",12.731995,14.072255,17.1407,20.683685,25.10129,28.048715,28.672975,29.132315,27.02721,22.44465,17.559395,12.946885
"franklin",7.962355,9.58916,13.9667,17.743955,23.047905,27.21002,29.42427,29.838295,25.621245,19.645715,13.851415,7.982315
"freestone",9.727915,11.36109,15.25735,18.97746,24.096415,28.019735,29.823785,30.2575,26.53919,20.869975,15.16901,9.72848
"frio",14.11311,16.02673,19.30478,23.41041,27.79923,30.120975,30.08569,30.9484,28.187785,23.819755,18.66525,13.820315
"gaines",7.660945,9.840385,13.87544,18.460695,23.563535,27.658295,28.22432,27.912855,24.20661,18.84586,12.17992,7.364805
