ID ,lat,lon,Name
1,32.77666,-96.79699,Dallas
2,29.76043,-95.3698,Houston
3,29.42412,-98.49363,San Antonio
4,30.26715,-97.74306,Austin
5,31.76188,-106.485,El Paso
6,26.20341,-98.23001,McAllen
7,27.80058,-97.39638,Corpus Christi
8,25.90175,-97.49748,Brownsville
9,31.11712,-97.7278,Kileen
10,30.08017,-94.12656,Beaumont
11,33.57786,-101.8552,Lubbock
12,27.53057,-99.48032,Laredo
13,35.222,-101.8313,Amarillo
14,31.54933,-97.14667,Waco
15,30.62798,-96.33441,College Station
