,id,Geography,R0_round,importation_probability,importation.current,importation.projected,importation.worse.projected
110,110,"Hockley County, Texas",0.1,0,0,0,0
111,111,"Hood County, Texas",0.6,0.001,0,0.001,0.005
112,112,"Hopkins County, Texas",0.5,0,0,0,0
113,113,"Houston County, Texas",0.7,0.001,0,0.001,0.005
114,114,"Howard County, Texas",0.1,0,0,0,0
115,115,"Hudspeth County, Texas",0,0,0,0,0
116,116,"Hunt County, Texas",0.5,0,0,0,0
117,117,"Hutchinson County, Texas",0,0,0,0,0
118,118,"Irion County, Texas",0.4,0,0,0,0
119,119,"Jack County, Texas",0.3,0,0,0,0
120,120,"Jackson County, Texas",0.6,0.002,0.001,0.002,0.009
121,121,"Jasper County, Texas",0.6,0,0,0,0
122,122,"Jeff Davis County, Texas",0,0,0,0,0
123,123,"Jefferson County, Texas",0.4,0.003,0.001,0.003,0.014
124,124,"Jim Hogg County, Texas",0.8,0,0,0,0
125,125,"Jim Wells County, Texas",1,0.003,0.001,0.003,0.014
126,126,"Johnson County, Texas",0.6,0,0,0,0
127,127,"Jones County, Texas",0.1,0,0,0,0
128,128,"Karnes County, Texas",1,0.001,0,0.001,0.005
129,129,"Kaufman County, Texas",0.2,0.001,0,0.001,0.005
130,130,"Kendall County, Texas",0.7,0.002,0.001,0.002,0.009
131,131,"Kenedy County, Texas",0.4,0,0,0,0
132,132,"Kent County, Texas",0.2,0,0,0,0
133,133,"Kerr County, Texas",0.6,0.001,0,0.001,0.005
134,134,"Kimble County, Texas",0.5,0,0,0,0
135,135,"King County, Texas",0.1,0,0,0,0
136,136,"Kinney County, Texas",0.4,0,0,0,0
137,137,"Kleberg County, Texas",0.9,0.002,0.001,0.002,0.009
138,138,"Knox County, Texas",0.1,0,0,0,0
139,139,"Lamar County, Texas",0.1,0,0,0,0
140,140,"Lamb County, Texas",0.7,0,0,0,0
141,141,"Lampasas County, Texas",1.1,0,0,0,0
142,142,"La Salle County, Texas",0.3,0,0,0,0
143,143,"Lavaca County, Texas",0.8,0.001,0,0.001,0.005
144,144,"Lee County, Texas",0.8,0,0,0,0
145,145,"Leon County, Texas",0.6,0.001,0,0.001,0.005
146,146,"Liberty County, Texas",0.8,0.001,0,0.001,0.005
147,147,"Limestone County, Texas",0.6,0,0,0,0
148,148,"Lipscomb County, Texas",0.1,0,0,0,0
149,149,"Live Oak County, Texas",0.9,0.002,0.001,0.002,0.009
150,150,"Llano County, Texas",0.5,0.001,0,0.001,0.005
151,151,"Loving County, Texas",0.1,0,0,0,0
152,152,"Lubbock County, Texas",0.1,0.001,0,0.001,0.005
153,153,"Lynn County, Texas",0.2,0,0,0,0
154,154,"Madison County, Texas",0.6,0,0,0,0
155,155,"McLennan County, Texas",0.8,0.002,0.001,0.002,0.009
156,156,"McMullen County, Texas",0.4,0.001,0,0.001,0.005
157,157,"Mason County, Texas",0.6,0,0,0,0
158,158,"Matagorda County, Texas",0.5,0,0,0,0
159,159,"Maverick County, Texas",0.1,0,0,0,0
160,160,"McCulloch County, Texas",0.4,0,0,0,0
161,161,"Marion County, Texas",0.9,0.004,0.001,0.004,0.018
162,162,"Martin County, Texas",1,0,0,0,0
163,163,"Medina County, Texas",0.9,0.001,0,0.001,0.005
164,164,"Menard County, Texas",0.4,0,0,0,0
165,165,"Midland County, Texas",0.1,0,0,0,0
166,166,"Milam County, Texas",0.7,0.001,0,0.001,0.005
167,167,"Mills County, Texas",0.6,0,0,0,0
168,168,"Mitchell County, Texas",0.1,0,0,0,0
169,169,"Montague County, Texas",0.3,0,0,0,0
170,170,"Montgomery County, Texas",0.5,0.005,0.002,0.005,0.022
171,171,"Moore County, Texas",0,0,0,0,0
172,172,"Morris County, Texas",1.3,0.001,0,0.001,0.005
173,173,"Motley County, Texas",0.1,0,0,0,0
174,174,"Nacogdoches County, Texas",0.7,0.001,0,0.001,0.005
175,175,"Navarro County, Texas",0.6,0.001,0,0.001,0.005
176,176,"Newton County, Texas",0.5,0.001,0,0.001,0.005
177,177,"Nolan County, Texas",0.1,0,0,0,0
178,178,"Nueces County, Texas",0.7,0.003,0.001,0.003,0.014
179,179,"Ochiltree County, Texas",0,0,0,0,0
180,180,"Oldham County, Texas",0.1,0,0,0,0
181,181,"Orange County, Texas",0.3,0.001,0,0.001,0.005
182,182,"Palo Pinto County, Texas",0.4,0,0,0,0
183,183,"Panola County, Texas",0.5,0,0,0,0
