Geography,TotalDirectSpending(dollars),Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Local(dollars),SEX_AND_AGE_Total_population_Male,COMMUTING_TO_WORK_Workers_16_years_and_over_Other_means_Percentage,maxtemp.warm.month,PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL_All_people,precip.wet.quart,HEALTH_INSURANCE_COVERAGE_Civilian_noninstitutionalized_population_No_health_insurance_coverage,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,probability
Llano,94830,7.2,2130,9275,1.8,352.3871,14.1,246.0944,3128,1088,0.00150750240254
Loving,30,3.9,0,57,0,359.8868,12,139.2033,26,3,0.000473409342637
Lubbock,801150,9.9,12270,139747,1.3,333.6575,20.4,201.8926,52626,16385,0.00333818174725
Lynn,1120,4.4,10,2972,0.5,336.1365,20.2,200.2336,1538,169,0.000665014995968
McCulloch,17940,4.2,270,4058,1.1,351.1223,16.6,221.2075,1425,239,0.000778885620566
McLennan,510660,7.5,7520,115430,0.8,356.314,22,275.1155,43328,10689,0.0044352267386
McMullen,2960,0,0,354,1.4,366.3727,19.2,215.8488,131,0,0.000506110441576
Madison,12680,3.2,310,8248,2.5,355.1858,25.2,308.3854,2176,285,0.0017607504349
Marion,7230,5.4,100,5177,2.1,342.3154,23.2,346.5171,2332,425,0.00205868473052
Martin,22420,3.7,40,2468,1.7,347.1604,15.8,172.6834,1396,110,0.000507044101663
Mason,2860,8,50,2036,3.9,347.3179,13.6,224.1014,938,238,0.00145459201634
Matagorda,52740,3,1320,18283,0.6,333.9358,21.1,370.7335,9489,723,0.000919008092654
Maverick,61520,3.8,1260,26823,3.6,366.3089,30.5,192.2362,19268,1176,0.00251640821243
Medina,45500,6,400,23878,1.2,353.247,17.7,235.6845,7471,1816,0.00149321948058
Menard,3060,7.1,20,1141,3.1,346.933,23.5,203.335,606,101,0.00211300380091
Midland,592990,7.2,10430,70310,1.7,347.6421,10.4,160.229,31388,6378,0.000892221246039
Milam,31780,3.9,380,12019,4.6,355.3072,19.2,287.1032,4540,648,0.00133508233835
Mills,2860,6.7,20,2370,0.4,348.0678,13.1,242.0764,705,227,0.00105560849262
Mitchell,9530,1.9,140,5714,0.3,348.854,11.7,200.8259,1287,120,0.000290645471722
Montague,20330,4.2,340,9738,1,355.7365,15.6,287.7427,4374,570,0.00103191501581
Montgomery,570380,9.5,13840,233843,1.5,345.8807,12.4,342.9486,88839,28965,0.00518964839699
Moore,44200,3.1,860,11346,2.1,334.9126,15.4,206.1106,4912,403,0.000376106438948
Morris,5360,4.1,40,6320,0.3,345.4154,20.6,352.3742,2503,366,0.00136397217605
Motley,740,2.5,0,661,0,350.3573,25.5,210.3858,370,18,0.000890821697291
Nacogdoches,76750,9.2,1510,31068,1.7,343.6147,25.7,332.0739,15475,3376,0.00587547148566
Navarro,48340,4.6,770,23715,1.2,355.5743,21.1,304.9314,10773,1427,0.00180571194029
Newton,4730,1.9,40,7267,2.8,337.5018,16.1,395.6173,3307,190,0.00062118222804
Nolan,26560,3.2,870,7532,2.6,343.4792,18.5,223.6681,3561,317,0.000620506420055
Nueces,1136110,7.5,29510,169074,2.7,346.3995,18.4,295.8866,72504,16591,0.00370896719014
Ochiltree,31810,4.2,910,5377,1.4,343.2326,17.3,224.5377,2609,257,0.000691527979234
Oldham,10810,9.8,50,1008,1.5,333.3538,14.2,203.0721,239,127,0.00143693927513
Orange,119290,3.6,1420,40861,1.5,332.2006,14.4,420.6865,16281,1975,0.000833436948267
Palo Pinto,80010,5.3,640,13812,3.2,356.0327,18.5,266.7589,6500,997,0.00158881335082
Panola,18510,2.9,440,11560,0.8,342.239,12.7,344.6629,4053,462,0.000564493099452
Parker,126620,7.6,1350,59808,0.9,354.5681,10.9,281.9443,20425,5993,0.00179604751132
Parmer,5480,3.5,40,5214,0.8,326.1775,21.3,200.434,2340,214,0.000468676857656
Pecos,55020,4.5,1420,8786,1,345.6245,16.7,155.4443,2643,472,0.000598199888132
Polk,56400,3.9,630,24416,3.7,343.4837,20.2,354.2252,10237,1274,0.00137496611856
Potter,817450,4.8,16100,62298,1.2,335.2308,23.1,215.5867,31595,3627,0.00108228206887
Presidio,10270,8.1,290,3691,1,340.468,24.8,176.8128,2470,401,0.00216299691464
